itemCode,descriptionEng,descriptionChi,unit,packageUnit,unitPrice,cost
177933,BX12 STAEDTLER MARS MICRO LEADS 0.7MM HB,STAEDTLER 施德樓 Mars 碳鉛芯 0.7毫米 HB - 12支裝,EA,1,6.1,
178036,BX12 STAEDTLER MARS MICRO LEADS 0.5MM 2B,STAEDTLER 施德樓 Mars 碳鉛芯 0.5毫米 2B- 12支裝,EA,1,6.1,
178047,BX12 STAEDTLER MARS MICRO LEADS 0.5MM B,STAEDTLER 施德樓 Mars 碳鉛芯 0.5毫米 B - 12支裝,EA,1,6.1,
178058,BX12 STAEDTLER MARS MICRO LEADS 0.5MM HB,STAEDTLER 施德樓 Mars 碳鉛芯 0.5毫米 HB - 12支裝,EA,1,6.1,
178399,UHU UNIVERSAL GLUE 35ML,UHU 透明強力膠 35毫升,EA,1,19.3,
179518,UNI UMN152 RETRACT B/PEN GEL INK BLK,三菱 UMN-152 Signo 按掣式雙珠啫喱筆 0.5毫米 黑色,EA,1,12,
179529,UNI UMN152 RETRACT B/PEN GEL INK BLU,三菱 UMN-152 Signo 按掣式雙珠啫喱筆 0.5毫米 藍色,EA,1,12,
179531,UNI UMN152 RETRACT B/PEN GEL INK RED,三菱 UMN-152 Signo 按掣式雙珠啫喱筆 0.5毫米 紅色,EA,1,12,
180091,BROTHER TZE232 TAPE 12MM RED/WH,Brother TZe 型標籤帶 TZe-232 12毫米x8米 紅色字白色底,EA,1,123,
180103,BROTHER TZE531 TAPE 12MM BLK/BLU,Brother TZe 型標籤帶 TZe-531 12毫米x8米 黑色字藍色底,EA,1,123,
180158,BROTHER TZE242 TAPE 18MM RED/WH,Brother TZe 型標籤帶 TZe-242 18毫米x8米 紅色字白色底,EA,1,136,
180169,BROTHER TZE541 TAPE 18MM BLK/BLU,Brother TZe 型標籤帶 TZe-541 18毫米x8米 黑色字藍色底,EA,1,136,
180182,BROTHER TZE151 TAPE 24MM BLK/CLEAR,Brother TZe 型標籤帶 TZe-151 24毫米x8米 黑色字透明底,EA,1,163,
180193,BROTHER TZE251 TAPE 24MM BLK/WH,Brother TZe 型標籤帶 TZe-251 24毫米x8米 黑色字白色底,EA,1,163,
180205,BROTHER TZE252 TAPE 24MM RED/WH,Brother TZe 型標籤帶 TZe-252 24毫米x8米 紅色字白色底,EA,1,163,
180216,BROTHER TZE253 TAPE 24MM BLU/WH,Brother TZe 型標籤帶 TZe-253 24毫米x8米 藍色字白色底,EA,1,163,
180227,BROTHER TZE451 TAPE 24MM BLK/RED,Brother TZe 型標籤帶 TZe-451 24毫米x8米 黑色字紅色底,EA,1,163,
180238,BROTHER TZE551 TAPE 24MM BLK/BLU,Brother TZe 型標籤帶 TZe-551 24毫米x8米 黑色字藍色底,EA,1,163,
180249,BROTHER TZE651 TAPE 24MM BLK/YLLW,Brother TZe 型標籤帶 TZe-651 24毫米x8米 黑色字黃色底,EA,1,163,
180262,BROTHER TZE355 TAPE 24MM WH/BLK,Brother TZe 型標籤帶 TZe-355 24毫米x8米 白色字黑色底,EA,1,183,
181389,BX200 AVERY L7168 LAS LAB 199.6X143.5MM,Avery 艾利 L7168-100 鐳射列印標籤 199.6 x 143.5毫米 每盒200個標籤,EA,1,230,
181471,BX6500 AVERY L7651 LAS LABEL 38.1X21.2MM,Avery 艾利 L7651-100 鐳射列印標籤 38.1 x 21.2毫米 每盒6500個標籤,EA,1,230,
182166,WLT6 STABILO BOSS 70/6 HIGHLIGHTER ASST@,STABILO BOSS 螢光筆 - 6色套裝,EA,1,61.1,
182292,SCOTCH C38 TAPE DISP BLK,Scotch 思高牌 C38 座枱膠紙座,EA,1,36.8,
182359,LUMOCOLOR 316 N/PERM OHP PEN FINE BLUE,STAEDTLER 施德樓 Lumocolor 316 水溶性多用途筆 0.6亳米 藍色,EA,1,13.1,
182361,LUMOCOLOR 316 N/PERM OHP PEN FINE RED,STAEDTLER 施德樓 Lumocolor 316 水溶性多用途筆 0.6亳米 紅色,EA,1,13.1,
182372,LUMOCOLOR 316 N/PERM OHP PEN FINE BLACK,STAEDTLER 施德樓 Lumocolor 316 水溶性多用途筆 0.6亳米 黑色,EA,1,13.1,
182975,FABER-CASTELL TACK-IT ADHESIVE GUM 75G,Faber-Castell 輝柏嘉 萬用膠 75克,EA,1,25.7,
183091,LUMOCOLOR 313 PERM OHP PEN SUPERFINE BLU,STAEDTLER 施德樓 Lumocolor 313 不脫色多用途筆 0.4亳米 藍色,EA,1,13.1,
183103,LUMOCOLOR 313 PERM OHP PEN SUPERFINE RED,STAEDTLER 施德樓 Lumocolor 313 不脫色多用途筆 0.4亳米 紅色,EA,1,13.1,
183125,LUMOCOLOR 313 PERM OHP PEN SUPERFINE BLK,STAEDTLER 施德樓 Lumocolor 313 不脫色多用途筆 0.4亳米 黑色,EA,1,13.1,
183147,LUMOCOLOR 318 PERM OHP PEN FINE BLU,STAEDTLER 施德樓 Lumocolor 318 不脫色多用途筆 0.6亳米 藍色,EA,1,13.1,
183158,LUMOCOLOR 318 PERM OHP PEN FINE RED,STAEDTLER 施德樓 Lumocolor 318 不脫色多用途筆 0.6亳米 紅色,EA,1,13.1,
183171,LUMOCOLOR 318 PERM OHP PEN FINE BLK,STAEDTLER 施德樓 Lumocolor 318 不脫色多用途筆 0.6亳米 黑色,EA,1,13.1,
183205,LUMOCOLOR 317 PERM OHP PEN MEDIUM BLU,STAEDTLER 施德樓 Lumocolor 317 不脫色多用途筆 1.0亳米 藍色,EA,1,13.1,
183216,LUMOCOLOR 317 PERM OHP PEN MEDIUM RED,STAEDTLER 施德樓 Lumocolor 317 不脫色多用途筆 1.0亳米 紅色,EA,1,13.1,
183238,LUMOCOLOR 317 PERM OHP PEN MEDIUM BLK,STAEDTLER 施德樓 Lumocolor 317 不脫色多用途筆 1.0亳米 黑色,EA,1,13.1,
